mean,std,skewness,kurtosis,power_spectral_density,dominant_frequency,label
-1.7938519811762081,0,0,0,0.0,0.0,0
-1.683223132905223,0,0,0,0.0,0.0,0
-1.5298429190504401,0,0,0,0.0,0.0,0
-1.7538696660087796,0,0,0,0.0,0.0,0
-1.6000303869260695,0,0,0,0.0,0.0,0
-1.689440640060296,0,0,0,0.0,0.0,0
-1.5614008638058223,0,0,0,0.0,0.0,0
-1.4169335366118352,0,0,0,0.0,0.0,0
-1.4815512628739944,0,0,0,0.0,0.0,0
-1.6195592068775349,0,0,0,0.0,0.0,0
-1.5800465841632183,0,0,0,0.0,0.0,0
-1.4158013212634388,0,0,0,0.0,0.0,0
-1.5504596889983226,0,0,0,0.0,0.0,0
-1.5028145128775792,0,0,0,0.0,0.0,0
-1.6191531724926154,0,0,0,0.0,0.0,0
-1.5940944061428084,0,0,0,0.0,0.0,0
-1.6116094992940508,0,0,0,0.0,0.0,0
-1.4358609984917698,0,0,0,0.0,0.0,0
-1.3845151456487645,0,0,0,0.0,0.0,0
-2.3885116190397424,0,0,0,0.0,0.0,0
-0.6774754350356865,0,0,0,0.0,0.0,0
-0.8764018161404377,0,0,0,0.0,0.0,0
-0.8650628541153252,0,0,0,0.0,0.0,0
-0.5514568694556551,0,0,0,0.0,0.0,0
-0.5584882848649332,0,0,0,0.0,0.0,0
-0.7496125052164,0,0,0,0.0,0.0,0
-0.7034389627446994,0,0,0,0.0,0.0,0
-0.6097695987483509,0,0,0,0.0,0.0,0
-0.6541782080437643,0,0,0,0.0,0.0,0
-0.6182642120770937,0,0,0,0.0,0.0,0
-0.6130764218586071,0,0,0,0.0,0.0,0
-0.678082587681993,0,0,0,0.0,0.0,0
-0.6329302149953757,0,0,0,0.0,0.0,0
-0.47936850504397743,0,0,0,0.0,0.0,0
-0.47995152507430017,0,0,0,0.0,0.0,0
-0.5554753943788007,0,0,0,0.0,0.0,0
-0.38155432075069223,0,0,0,0.0,0.0,0
-0.159113659487508,0,0,0,0.0,0.0,0
-0.2565668290118186,0,0,0,0.0,0.0,0
-1.700188057375235,0,0,0,0.0,0.0,0
0.1255761996148794,0,0,0,0.0,0.0,0
0.3002792081031587,0,0,0,0.0,0.0,0
0.04180840401290023,0,0,0,0.0,0.0,0
0.0543542742383838,0,0,0,0.0,0.0,0
0.21205098692532223,0,0,0,0.0,0.0,0
0.26537911117140095,0,0,0,0.0,0.0,0
0.21419361272419232,0,0,0,0.0,0.0,0
0.24732138821782212,0,0,0,0.0,0.0,0
0.10881651655075515,0,0,0,0.0,0.0,0
0.21639145288765796,0,0,0,0.0,0.0,0
0.4292028101459591,0,0,0,0.0,0.0,0
0.3565472574312504,0,0,0,0.0,0.0,0
0.2052795522374399,0,0,0,0.0,0.0,0
0.34222299786008925,0,0,0,0.0,0.0,0
0.20527216289148367,0,0,0,0.0,0.0,0
0.33314691974827304,0,0,0,0.0,0.0,0
0.38065534402110385,0,0,0,0.0,0.0,0
0.34620308232882563,0,0,0,0.0,0.0,0
0.4732499672041586,0,0,0,0.0,0.0,0
-1.5094554826564024,0,0,0,0.0,0.0,0
-0.7903210086360521,0,0,0,0.0,0.0,0
-0.9197692197037193,0,0,0,0.0,0.0,0
-0.48568839458420554,0,0,0,0.0,0.0,0
-0.6422860869103506,0,0,0,0.0,0.0,0
-0.8467821773104318,0,0,0,0.0,0.0,0
